id,percentage,review
1,9,I am disappointed with this app I thought that the app would show you how to do it but it is just YouTube videos that crash my phone. I am going to have to get ride of it.
2,7,This game is only trying to make money So stupid you have to pay real money for new hero's learn how to make apps rookies
3,91,Really fun app I love it its very fun you should buy it but there is some glitches but i rate 5 over all.
4,99,User friendly. Good mix of games play daily.  like fireworks when win a game.  Thanks.
5,50,"Soopa fast Great app but it allways has my team getting beat Sort that out  there'll be another 50,000 downloading  LIVE SCORES,, "
6,91,Awesome My almost three year old is playing like a champ. Only downside is she asks for monkey everywhere
7,91,Princess Tailor Boutique I loved this game you got to chose different patterns.
8,87,THA BEST BEST BEST BEST GAME EVER I love it halris I know I spelled it wrong the only thing is the errow part it won't let me do it BUT ITS STILL A GOOD GAME
9,73,Best app ever I luv this app so much
10,85,"Great free fun This game is great. It is fun, easy to use, does not crash. The only drawback is that my 4 year old son runs off with phone all the time Galaxy S2"
11,84,Amazing Thia is an amazing app so much fun and so much to do i highly recommend it
12,82,Love it... Absolutely fabulous and useful app Very user friendly...not a waste at all
13,90,In love At first its hard to find but you will get all the words in a min to 2 mins
14,89,"Great My 2 yr old daughter loves it and it is perfect for her homeschooling. The app works perfectly on my android box and cell. For those who tried to download it and it may not work, maybe try subscribing. The app is free, not the programming."
15,84,"Fast, stable and user friendly This paid app version is the best for accessing iracing forum on mobile device. It even directly link you to the last forum post you're following. Great app."
16,78,"BEST TDEFENSE GAME OF ALL TIME We need MORE FIELDRUNNERS games and perhaps maybe some spinoffs A mashupcrossover with angry birds Anyway, this game rocks Fieldrunners  was the very first "
17,77,Its  cool game ever Keep doing what you doing... Your awesome love it.... Doing another game to... Y'all cool... I don't know what to say... Awesome
18,86,I like the game but I don't like all the pop ups of other games
19,71,Amazing Panchtantra in Hindi This very good app. good cocept I like it
20,77,"Best crossword app Excellent support.  I reported a problem with one of the updates, had a response within a couple of hours and a fix was released a few days later.  Other app developers could learn a lot about customer service from this company."
21,72,"The money is hard to come by. Getting the cash is a lot of work n when you get it, it's just to little. It is a great game though"
22,77,Fun There aren't a lot of games that keep my attention but with this one I can't get enough
23,72,Great I Love the game but I have a couple of suggestions. I think you should have to pay for broken axels and engines. And add season points.
24,70,Fantastic Brain feeding app You' ll get to add some new facts gen  knowledge to yout head Go ahead and just install it.. I personally enjoy it its challenging and giving u the corrext answers if ur wrong..
25,18,Probably never going to play it I don't really play games on my phone but I had to spend some of my filthy american money to support Yathzee.
26,24,Was fun Seems like after update you win 1 out of 100 spins.... which isn't enough money.... and I refuse to pay real money for fake money.... still nice concept though
27,16,Love the game BUT..... Love the always will but theirs no obvious way to mute sounds I like to listen to alot of podcast while I play this is impossible as far as I can see currently
28,11,Waste of time Its totally a waste of time game I don't know y u make such a games and waste your time too guys pls don't waste your time in this type of games
29,24,DOWNLOAD GOLF FRONTIER ITS BETTER Developer BURIED my comment because his app is CRAP DOWNLOAD GOLF FRONTIER IT WORKS FLAWLESSLY FOR FREE This app doesnt have courses updated and gives 
30,30,Glichy The game is so glichy when I mine it doesn't mine the block and I'm glitching in the ground
31,26,More effort required Good content but terrible presentation. Really no update visually including the widget for past few months to years almost. There are so many visually stunning weather apps out there.  Please at least have a look at yahoo one.
32,22,No Material design. Lacks polished user interface. Could take a few GUI design notes from the Reddit News app.
33,10,Don't work I hate it you have to craft your tools in creative change in and I'll rate five and if dont I'll delete the game and get mine craft
34,18,Crashes tablet Tried installing multiple times e with the same result.  Freezes up and sometimes crashes Galaxy Tab 3.    to dev I no longer have it installed and don't want to reinstall it.  But showing you care deserves at least another star...
35,17,It sucks I keep losing and keeps freezing
36,23,Refund needed This game keeps forclosing smh....uninstalled since I can't play it fully plz contact me.
37,13,I HATE IT I hate it because it would not even load SO SO SO SO SO SO SO SO BAD
38,21,"Its  pure rubbish Who ever programmed this wasn't using half of their brain,what's the point of creating a game if win or progress    Horrible waste of   my time. Uninstalled it within 15 min of playing"
39,22,Very disappointing. ..fix it Was all the way done with game waiting for new levels...now I have to start all over again...lost everything
40,25,Network error Today i installed this game and i open to play this game requires update 166 but it didnt run then it says error with connection issue i check my connection its working how can i get it to patch please help me
41,26,"Problems with mor problems I love the game, but the technical issues are getting on my nerves. Also the time clock for your ranking is short, it just a tactic to spend your coins."
42,18,"Been playing for so long and can't get close to enough coins to play the slot games were you need 100000 minimum coins to play, have never got a jackpot to unlock the higher levels."
43,24,"Bad bad bad Won't load, can't open very angry 3 year old and mum so mad"
44,26,Used to be a good game. Now it lags on some of the fastest wifis out there. Used to be a decent game and would have said it to be a 6 star. That was 2 months ago and now i can barly play it because of the lag.
45,16,If I could rate no stars I would. No instructions
46,20,"Login fail This app keeps telling me my login credentials are wrong, which it is not, removing from my fone as of now."
47,19,"Crashed right in the middle of the 1st game playin and all was good, then it just crashed, VERY FRUSTRATING"
48,7,"Need help I emailed the support already, and waiting for response. This app closed itself after some black screen, really disappointed."
49,23,"Attention please When i tried to open it, it takes too long to load eventho my Internet showed excellent .. gtMalaysia n using Samsung S5 ... please fix"
50,12,"Addicting game STOP CRASHING Need to update or do something. It seriously crashes every 30 seconds. I wrote that a flipping MONTH AGO Yep, it's still crashing. They better do something about it soon. Because, I'm starting to lose interest"
