id,percentage,review
1,81, In 1992 we bought a new Taurus and we really loved it  So in 1999 we decided to try a new Taurus  I did not care for the style of the newer version  but bought it anyway I do not like the new car half as much as i liked our other one  Thee dash is much to deep and takes up a lot of room  I do not find the seats as comfortable and the way the sides stick out further than the strip that should protect your card from denting It drives nice and has good pick up  But you can not see the hood at all from the driver seat and judging and parking is difficult  It has a very small gas tank I would not buy a Taurus if I had it to do over  I would rather have my 1992 back  I don t think the style is as nice as the the 1992  and it was a mistake to change the style  In less than a month we had a dead battery and a flat tire br br  
2,90, Now I m no granola munchin  hippie but this beast of a car is a hazard to the environment and everyone else on the road  While it may be roomy  can easily fit 9 people  this means that the SUV must weigh 9 tons  The vehicle is over 7 feet tall and wider than most parking spaces  All of this excess means one thing  if you are involved in a accident with one of these you will probably be killed   It s like going up against a monster truck  Don t let Ford fool you either  these cars  SUV s in general  do not have any emissions standards so basically these things pollute as much a big rig  With the surge in the popularity of these things that means that the earth is becoming polluted at an even more alarming rate  So maybe the environment or the hazards to everyone else don t phase you  You have your mind set on one of these babies  Just check out the price and the gas mileage these things get  If you live in CT like me then the price of gas alone equals the price of the car in a few years if you drive at least 40 miles a day  All of these things means that this excess room is just costing everyone else including the owner  If it s room you want then get an RV or a van  Just not a stupid  ugly SUV br br  
3,60,  The 1992 Ford Taurus  was now in its 2nd generation  many car companies for 1992 had revised their sedans to look more aerodynamic  so Ford had to do something to stay on top in the style department  Unfortunately this attempt resulted in a more blase look  The 1992 Ford Taurus  while improved in some areas  never made it past 1st base in other areas   The 1992 Ford Taurus  is not much different than the 1991 models  the 2 4 liter  90 horse powered engine is finally dropped  but there still is an anemic 140 horsepower 3 0 Vulcan V6 as its base engine  The 1992 also weighs more than its predecessor  tipping the scales for the first time over 3 100lbs  The next engine is the Essex 3 8 engine  It too has 140 horsepower  but unlike the Vulcan 3 0 it gets all its power at a much lower RPM  and has more torque  215lb ft  The top of the line engine is the 3 0 DOHC engine that was built partly by Ford  and mostly by Yamaha in Japan  This engine cranks out an impressive 220 horsepower  and will burn rubber if you don t watch your right foot at a stop light  This engine unfortunately is only available in the top of the line  SHO  models  and they only come with a 5 speed manual for this year  The AXOD transmission still  after thousands of complaints  comes in the GL and LX models with the OHV 3 0 and 3 8 engine  Ford obviously did not listen to their customers very well i Driving Impressions i   T he LX equipped with the 3 0 is what most of the critics called  anemic   boring  and just  plain sad  this lack of power problem was obviously an issue that I did not share alone  This car not only was slow in the lightweight models of the mid 1980s  but for 1992 it s even slower with the added weight and no increase in engine power  The 1992 Ford Taurus  of course is not a race car  however shouldn t  acceleration  onto the freeway at a decent pace be a standard amenity in an almost  20 000 family car  I think so  Remember  when these cars were new they were not exactly cheap  some LX models were as much as  21 000  a good engine  with adequate power is not asking too much  is it  My Test car  a 1992 LX only had 82 000 miles on it  but felt like it had much more  There were tears in the headliner and vanity mirrors  the carpet was worn  the back seat had tears in the cheap leather  This car looked as though it had been through the war  There was even a time while accelerating up hill that the transmission totally slipped out of gear  I had to shift to neutral then back to D  After letting off of the gas pedal  the transmission let itself go back into high gear  and I resumed my way up the hill at around 45 MPH on the freeway  very dangerous when the speed limit is 80  but I had no choice i Interior Accommodation i  The  interior  is not too bad  I ve never personally been in a 92 Taurus when it was brand new  lets see  in 1992 I was around 14 years old  But I can imagine what this car probably looked like  The leather probably looked plush  the headliner fitted like a nice pair of leather pants  and the transmission as silky smooth as my skin  that s me trying to be funny  Anyway enough about probably s  this car is now 10 years old and it is pretty darn close to what many would consider junk  The interior does boast tons of room  trunk room included  There is 6 way power seats with lumbar support as an option for the LX  leather  a cold AC  an optional electronic dash  electric antenna  5 MPH bumpers  front air bags  finally  ABS is an option  The 6 speaker Ford sound system probably would have been good  but it didn t work so I can t comment   Exterior Innovation i  The  exterior  looks much like the 1st generation s  The rear looks a little more square  there is modified tail lights and head lights  body colored bumpers and door handles  more attractive stock rims  and paint has been revised so it doesn t wash off as easy as the previous 1st generation models  When I say  wash off  in a number of cases this actually happened with first generation Ford Taurus i Price i  The  price  for a 1992 LX Taurus will cost you around 3 000 dollars  In many cases these cars are being given away  or close to it   Other Cars To Consider b i 1  Dodge Intreped 2  Eagle Vision 3  Chevrolet Lumina  a href content 63653777028 http www epinions com content 63653777028 a   My Review 4  Honda Accord 5  Toyota Camry 6  Chevrolet Corsica 7  Plymouth Acclaim 8  Dodge Dynasty 9  BMW 3 series 10  Ford Thunderbird  Happy Car Shopping  
4,40, I have a Ford Explorer Sport and I know I am going to get some flack for writing this epinion but I feel I must voice my epinion anyway  I have read many other epinions about the Ford Explorer and many people seem to love this SUV I however would never ever buy another one The vehicle is very attractive looking roomy quite comfortable and not that bad on gas BUT the construction is extremely poor  My doors  quot dropped quot  because the hinges were made so poorly  The inside door panel and handle construction is so poor that my handles actually broke off just from regular use which in turn caused my inside door panels to crack split and then break altogether When I take the vehicle out of 4 wheel drive I am instructed to back up a bit to totally disengage the hubs  What is that  I don t see other people backing up all over the place to do that  This can t be right but if I don t back up I hear crunching and grinding and I don t dare drive it What a poor system  I was told by the service department that this was normal for the Ford Explorer though and that I need to backup My ABS system doesn t work properly either and I have had times when I wasn t sure I was going to be able to stop for school buses and such  I found this to be a very scary experience Now I get a recall card in the mail saying the rear door  hatch  hinges are poorly constructed and could be dangerous  NO KIDDING I have 4 years left to pay on the piece of junk and wish I had never bought it  If I could get out from underneath it I would in a heartbeat I would not recommend the purchase of and Explorer to anyone and would never consider buying one again I have dubbed mine the Ford Exploder I consider it one of the worst vehicles I have ever owned br br  
5,54, In August of 1997 I  Russell  turned the age of 16  My parents told me I could have any car that was available to my choices on the lot  no special oredering my dad said  So as a 16 year old getting his first car  a new one at that  I was very estatic to look at my options  I knew that I either wanted a mustang or an explorer  Well my decision was made  The explorer was mine  After about 3 months of having my SUV  my check engine light decided to come on  As soon as that happend no more than 2 hours later i took it to the dealership and it took them 2 weeks to fix it  It needed a tune up already  Well in mid March my Mach 460 radio system  factory  blew  The dealership did not want to fix this saying that it was my fault  And needless to say my sunroof stopped working  my leather seats started to tear  and keep in mind  I kept very good care of this car  VERY GOOD  she was my baby  I do not think i liked anything about this car after having it for a year and a half  Driving this car was an unbelievalbe experience  Everybody where I live wanted to drive it  It was easy on the handling  very aggresive  and super fast  If you think that this was just a lemon then buy one  on my opinion i have 3 other friends that just have gotten new ones in the past year and they have done the same  I would not recomend this vehicle to my worst enemy  Now however Ford has come out with the Ford Explorer Sport Trac  this car is better by far  I have had mine for about 3 months now and she has gave me NO problems at all  I recommend the Ford Explorer Sport Trac  NOT the Ford Explorer Sport br br  
6,54, I bought my 93 Ford Probe GT used in 1998 from a Jeep dealer  STUPID  I test drove the car and liked it because of the way it looked   it was sporty and fun to drive  It only had 48 000 miles on it  with a purchase price of  9 995  which I now know was about  9 900 too much  When we bought the car  there was a couple of cosmetic things that needed fixed  i e  passenger side door panel falling off  etc  These were fixed within a few weeks  About 6 months into our ownership  some other not so cosmetic problems started happening   brakes grinding loudly  muffler not muffling  normal wear and tear  but things that should have been checked before the dealership sold the car  We took the car in and 2 days later  these simple things were fixed In October of 1999  approx  18 months after purchase  came the motherlode  The Probe overheated one morning when I got to work  I shut the car off and fluids started draining from what seemed like everywhere under the hood  The dealer I bought the car from came to my location and picked up the car  After they looked at it  they assessed that the water pump had gone out  the oil pan gasket was leaking and it basically needed a valve job  Thank GOD for extended warranty  I was without my car for approximately 1 1 2 weeks  Total cost for that job was around  1500  Then when I got the car back  the  quot Check Engine quot  light was on  I called the dealership back and asked why the light was now coming on  when it was not before  They looked at the car again  and found  they thought  that the Mass Airflow Sensor was bad  226  They replaced it  but it did not fix the problem  Then they thought the O2 sensor was bad  another  200 some    replaced it  to no avail  Finally they told me after another week  that they thought the EGR valve had gone bad  but that it would not be covered under warranty  310 for the part alone  I explained to them that even though they considered this a  quot wear and tear quot  part  I should not have to pay for it  We went back and forth  I took the car back and drove it  engine light flashing in my face and all  until I contacted the Better Business Bureau and a local television station  The dealership finally agreed to do the replacement I scheduled my appointment and took the car in  It took them about 3 days to get the part  When they replaced the EGR valve  guess what    it did not fix the problem  Surprise  surprise  So  they cleaned some vacuum lines  etc  still could not find the problem After about a week in the shop  they decided to send it to the Ford dealer down the street and let them look at it  Two and a half weeks later  I get my car back  but only after they put the car on their computer  it told them a part to replace  they replaced it and it didn t fix the problem  Ultimately  I think  it turned out to be a problem with a vacuum pump  or something Now  8 months later  yet another seemingly  quot impossible to figure out quot  problem has surfaced  On July 1  2000  my car quit running  unexplainably  Three different repair shops have looked over the car  trying to determine if it is an electrical problem  which I now understand these cars are notorious for having  or a fuel problem  No one can seem to figure it out  So now  I m back to the Ford dealer on Monday   I wonder if they can pinpoint the problem  I don t have a whole lot of faith I would not recommend this vehicle to anyone  unless you have money to just throw away  and a backup car to drive about every 6 months  for about a month at a time  and if you are just looking for a headache br br  
7,56, So I had to drive a rental car for close to a month and I had two choices  The first was a Ford minivan which I simply would not drive under any circumstance  The second choice was a Ford Contour  and I have to tell you  it was the worst car i ever sat behind the wheel in  First off the Ford contour has all the visual appeal of Grandma s car in my humble opinion  I suppose not a whole lot more can be expected from Ford  Yes if you haven t noticed I am a touch biased  But with that said  I can honestly say I have not liked the look of one single Ford car since the early 90 s  and the Contour is no exception  The Interior is some what comfortable  but the look is very drab  There is no excitement to be found here  An awkward factory stereo consumes most of the center console and the rest is used up by oversized dials for the heater and air conditioning  One of my biggest problems with this car was the fact you couldn t turn the air conditioning on with the defroster on  Now for those who don t live in cold weather  the air conditioner will take the moisture out of the air and defog your windows  Very poor design  To top all the poor layout of the interior  everything was just cheap cheap plastic  Nothing fit snuggly so the whole cab of the car had rattles  Even at less then a year old and almost no miles this car was in poor condition  I hated driving it  Now that I have pointed out some of the flaws of the interior of the car I will tell you how it drove  It drove like a SUV  Not only did it have a horribly stiff suspension when you hit bumps in the road  but the car leaned like a SUV when you went around corners  You would feel like you were about to roll the car taking a corner any faster then 25  It s acceleration was less then stellar as well  Even with a V6 in the car you felt like it would take forever to get up to speed  The throttle response was horribly slow as well  If you needed to get some speed to make a pass you better plan ahead about three seconds  Not only did the car take forever to get to speed  it took just as long to stop  Perhaps part of this problem is due to the incredibly cheap Firestones the car comes with  I ended up having the ABS kick in no less then three times doing pretty standard stops  When the ABS didn t kick in  the car still took forever to stop due to its heavy weight  This car needs to go on a serious diet  Now the gas economy of this car was just as bad as everything else  With my 80 mile commute every day I usually had to stop every other day and get twenty dollars in gas  When I picked the car up from the rental company it had a quarter of a tank  before I even got home I had a gass light flashing at me  Another improvement that needs to be addressed are the headlights  The high beams were average  but the low beams were nonexistant  If you drive at 35 mph at night with the low beams on  you are overdriving them  This car doesn t make a good commute car  it doesn t make a good FUN car  its not built well enough to be a family car  I can t honestly think of anything good about this car  It would be a nice treat if ford stopped designing plain cars that are cheap to mass produce and design something that is better built  better to drive  more practical  and not so plain  Agree or disagree with me if you like  but this car goes into my books as a total blunder br br  
8,47, I should start out by letting you know that I do not know much about cars  But after leasing this vehicle from Ford  I am ready to go back to the horse and buggy  The car has been in the shop more than it has been in my garage  We have leased it for 2 years and it has already had 2 recalls  It is extremely limited in space and anyone with small children will regret the day they purchase this lemon Ford has discontinued the model for the 2001 sales year and for good reasons  Although you cannot purchase this vehicle brand new  I would also discourage someone from buying it secondhand  To top it off  the service department at the Ford is horrendous  They lack professionalism  product knowledge and simple manners  I have to spend a lot time at the garage because of this horrible car and I am not sure if I will purchase another Ford again  The ride in the contour is rough and loud  On a major expressway it feels like you are riding on Space Mountain  The air conditioner is weak at best and the trunk can barely fit a stroller  I guess I should commend Ford for discontinuing this model br br  
9,49, My 2000 Ranger is my first Ford product in 12 years  My initial reaction to this vehicle  The quality of their products has remained the same or dropped in that time period vs  the expected improvement As a truck  my expectations were somewhat different vs  a passenger car  particularly in areas of ride and cab comfort  Generally  I was pleasantly surprised in both areas  However  the overall quality level of the truck quickly eroded any positive feelings for the vehicle Some of the quality problems were superficial or cosmetic   incorrectly cut carpeting  exposed wiring  radio knobs that have no start stop points  Not show stoppers  but enough to leave you uneasy about things you don t see or use on a regular basis Other quality issues were more problematic  The truck was delivered with loose front wheel bearings and was badly out of alignment   to the point of ruining the front tires within 800 miles due to cupping I have experienced  severe vibration in power steering assembly that it intermittent irregular idle and loss of power when clutch is disengaged air conditioning that fails to discharge evaporated water correctly  causing mildew in the evaporator box that must be flushed and deodorized on a regular basis  These are problems that I would expect to encounter at 80 000 miles  not at 800 miles As a daily driver  the truck is a mixed bag  Gas mileage has been disappointing   18 in town  20 on highway vs 22 27 rating  The ride is better than expected   somewhat choppy  but acceptable for a truck  especially with a short wheelbase On the positive side  the standard bench seats are comfortable and come with a 60 40 split  Legroom and headroom is adequate for a 6 0 person  The standard stereo system has a built in cd player and delivers better than average sound quality  The heater delivers more than adequate heat  but does suffer from A C odor problems  Dash board control and gauges are easy to read and provide more than standard idiot lights  A tach would be helpful with standard transmission models  especially to monitor idle levels This truck initially caught my eye due to its sticker price  which seemed very reasonable  Unfortunately  low price does not always mean value  and in this case  it didn t br br  
10,52, I bought my 2001 Cobra in January 2003  I missed the power after selling my modified 1991 Mustang GT a couple of years ago  My Cobra had 13 000 miles on it  so  it was practically new  I was impressed with the power of the Cobra and the brakes  However  I had problems with my Cobra  There was what some call  driveline slop  when shifting  There would always be a loud clunking noise coming from the rear of the car  Eventually  there was a big  bang  one day and it turns out my rear differential failed  There were problems with the warranty repair but that s another story  See note at end  After getting the car back it drove better   Driveline slop  was gone  I was happy until a month later  when the rear axle bearings went out and needed to be towed back home  The car has left me stranded twice and it only now has 27 000 miles on it  The axle was repaired under warranty and now I will sell the car as soon as possible  I will not keep this car past the warranty period There are other things I should mention like the drivers s seat shifting during some cornering and the front bumper is loose  You can move it up and down with your hands  The Ford dealership says this is  normal  I don t think so The overall quality of the interior is kind of cheap looking with lot s of plastic  The shifter console is loose around the shifter  Just overall low quality  Looks like Ford just built a piece of crap car around a good engine and brakes  Note to anyone considering buying a used car from a Ford dealership  If the car is still under mfgr s warranty  have the dealership print you out a copy of the vehicle s  OASIS  report  That s the Ford vehicle info database  It shows all repairs done at Ford dealerships and it shows the vehicles warranty status  This could become important later  
