id,percentage,review
1,82, films adapted from comic books have had plenty of success   whether they re about superheroes   batman   superman   spawn     or geared toward kids   casper   or the arthouse crowd   ghost world     but there s never really been a comic book like from hell before    for starters   it was created by alan moore   and eddie campbell     who brought the medium to a whole new level in the mid  80s with a 12 part series called the watchmen    to say moore and campbell thoroughly researched the subject of jack the ripper would be like saying michael jackson is starting to look a little odd    the book   or   graphic novel     if you will   is over 500 pages long and includes nearly 30 more that consist of nothing but footnotes    in other words   don t dismiss this film because of its source    if you can get past the whole comic book thing   you might find another stumbling block in from hell s directors   albert and allen hughes    getting the hughes brothers to direct this seems almost as ludicrous as casting carrot top in   well   anything   but riddle me this   who better to direct a film that s set in the ghetto and features really violent street crime than the mad geniuses behind menace ii society    the ghetto in question is   of course   whitechapel in 1888 london s east end    it s a filthy   sooty place where the whores   called   unfortunates     are starting to get a little nervous about this mysterious psychopath who has been carving through their profession with surgical precision    when the first stiff turns up   copper peter godley   robbie coltrane   the world is not enough   calls in inspector frederick abberline   johnny depp   blow   to crack the case    abberline   a widower   has prophetic dreams he unsuccessfully tries to quell with copious amounts of absinthe and opium    upon arriving in whitechapel   he befriends an unfortunate named mary kelly   heather graham   say it isn t so   and proceeds to investigate the horribly gruesome crimes that even the police surgeon can t stomach    i don t think anyone needs to be briefed on jack the ripper   so i won t go into the particulars here   other than to say moore and campbell have a unique and interesting theory about both the identity of the killer and the reasons he chooses to slay    in the comic   they don t bother cloaking the identity of the ripper   but screenwriters terry hayes   vertical limit   and rafael yglesias   les mis   rables   do a good job of keeping him hidden from viewers until the very end    it s funny to watch the locals blindly point the finger of blame at jews and indians because   after all   an englishman could never be capable of committing such ghastly acts    and from hell s ending had me whistling the stonecutters song from the simpsons for days     who holds back the electric car/who made steve guttenberg a star          don t worry   it ll all make sense when you see it    now onto from hell s appearance   it s certainly dark and bleak enough   and it s surprising to see how much more it looks like a tim burton film than planet of the apes did   at times   it seems like sleepy hollow 2      the print i saw wasn t completely finished   both color and music had not been finalized   so no comments about marilyn manson     but cinematographer peter deming   don t say a word   ably captures the dreariness of victorian era london and helped make the flashy killing scenes remind me of the crazy flashbacks in twin peaks   even though the violence in the film pales in comparison to that in the black and white comic    oscar winner martin childs    shakespeare in love   production design turns the original prague surroundings into one creepy place    even the acting in from hell is solid   with the dreamy depp turning in a typically strong performance and deftly handling a british accent    ians holm   joe gould s secret   and richardson   102 dalmatians   log in great supporting roles   but the big surprise here is graham    i cringed the first time she opened her mouth   imagining her attempt at an irish accent   but it actually wasn t half bad    the film   however   is all good    2   00   r for strong violence/gore   sexuality   language and drug content  
2,93, i ve noticed something lately that i ve never thought of before    pseudo  substance   hollywood faking deep meanings in their films    have you ever seen a movie that you really enjoyed   then when you look back   you realize there was something missing    more and more   filmmakers seem to be putting out well rehearsed   melodramatic films that evoke strong connotations of being a great film   but if you step aside and reflect on your movie going experience   you may just discover nothing more than elegantly presented fluff    i m not trying to say city of angels is that bad    it had a lot going for it   but somewhere along the way   it faltered    somehow   underneath the seemingly poetic beauty of it all   there was a gigantic hole somebody covered with iridescent performances and glossy cinematography    the predictable ending that shattered our hopes   even though we saw it coming   only added to the disappointment    but for over an hour   city of angels is well worth the time    nicolas cage is seth   a guardian angel who   like hundreds   likely thousands or even millions   of other angels   spends eternity watching over the citizens of mortality   humans never aware of how much celestial intervention occurs in their life    meg ryan   in her most subdued performance yet   plays maggie   a doctor who begins to ponder exactly who it is we re fighting against when we fight to keep someone alive    after losing a patient on the surgery table   these questions envelope maggie   and seth   the angel who was there to oversee the patient s transition into the afterlife   is immediately captivated by the doctor    he begins following and observing maggie   falling more and more in love with her everyday    angels   who we quickly learn are not and never were humans   can not experience human sensations such as taste and touch   but they do have the ability to make themselves seen to anyone they desire    seth s adoration is too much to resist   and eventually he does appear to maggie   quite regularly   although such a thing seems taboo among the angelic community    the angels are interestingly presented   all of them dressed in black and more reminiscent of hitmen than traditional glowing white entities   but it s a nice touch that never seems like a mere attempt at uniqueness    cage is a wonderfully versatile actor   think face/off   raising arizona   and it could happen to you   what a combo !   who slips into the role of a heavenly agent quite nicely but threatens sappiness more than once    it s nice to see ryan pick up roles like this and the one in courage under fire    the two aren t very comparable to each other   but they both deviate from her usual   intelligently ditzy   romantic comedy roles   and it s an impressive side of ryan movie goers rarely have the chance to enjoy    but even though the two leads do an impressive job   it is dennis franz who grabs us with his interpretation of a hospital patient who knows more than meets the eye    it s a shame that with so much going for it   city of angels falters so much in its final stages   leaving us with the realization that an emotionally incredible movie was out there   they just didn t know quite how to get to it    they struggle for an impacting conclusion and wind up with painful thud rather than an exhilarating high    filmmakers should know your final impression will be the one you linger on   remember   and convey to others thru word of mouth   so after telling us for 60+ minutes that this film is a glorious masterpiece   they sure leave us with a disheartening taste of mediocrity in our mouths    based on the german film wings of desire   that being the english title   of course     city of angels is ninety percent success   enough to make most people forgive its shortcomings   even the devastatingly disappointing ending    most movie goers   the non cynics anyway   will be too wrapped up in the surreal atmosphere to give criticism to that which needs to be criticized    nonetheless   city of angels is beautifully captivating   which is probably enough to satisfy those poetic viewers who will appreciate a delve into rich emotional territories    
3,50, there s something about ben stiller that makes him a popular choice among casting directors these days    stiller currently has three projects in circulation   and what other actor can lay claim to that    he s in   there s something about mary     which i * still * haven t seen    and he s in the acerbic   your friends & neighbors     playing a talkative   sexually frustrated drama coach called jerri    now there s   permanent midnight     in which stiller plays another jerry   this one a heroin addicted television writer   last name stahl    there s also something about this industry that pushes bankable stars like stiller into doing drug addiction pictures the minute they ve proved themselves commercially    ewan mcgregor springs to mind who   after successful turns in   emma   and   brassed off     received greater respect and admiration for his mind blowing realization as renton in danny boyle s transatlantic junk fest     trainspotting      the philosophy appears to be a simple one   if you want  em to be taken seriously   make  em do drugs       permanent midnight   is based on the true life experiences of jerry stahl   a successful hollywood writer who   in the mid eighties   had a $5   000 a week job churning out plotlines for disposable tv sitcoms and a $6   000 a week heroin habit    a habit   in stahl s own words     the size of utah      as stahl   stiller contributes a commanding performance    unlike   trainspotting     which was successful in having it both ways by chronicling both the highs and the lows of heroin abuse     permanent midnight   instead focuses on the concept of drug addiction as maintenance    one of the earliest observations in the film is a casual reference to   naked lunch   author william s   burroughs who   when asked why he shoots up first thing in the morning responds     so i can shave      stahl rarely appears to be puncturing veins for the thrill of it all in   permanent midnight     it s so he can talk to his mother on the phone   show up for work on time   even pay his bills    while the film itself occasionally wobbles around along with stahl   the writing   adapted from stahl s autobiography by director david veloz   is controlled and pointed       permanent midnight   shows how stahl moved from new york to l   a   to  again in the author s words     escape the drug scene     yeah   right     why he entered into a convenient marriage with a british tv exec   elizabeth hurley   so impossibly polite you d swear her single profanity was dubbed     and that he conceived a child in between his random hirings and firings    stahl narrates all this in a motel bedroom to a sympathetic lover called kitty   norristown s own maria bello   with whom he spent some rehab time    janeane garofalo is wasted  and miscast  as a heavily bespectacled hollywood talent agent who fails to get her hooks into the doped up wordsmith   and that s stahl himself playing a jaded clinic counselor    stiller   unshaven   burroughs take note   and with lots of mascara around the eyes   has stahl stumble through the film looking like a train wreck but   to his credit   never once pushes his pill popping   needle jabbing performance over the top    the ubiquitous stiller is the reason to see   permanent midnight     a dark   comic   and strangely absorbing study of assisted living    
4,79, the most common   and in many cases the only   complaint against francis ford coppola s 1972 masterpiece the godfather is glamorising of mafia   which is presented as an institution guided by ancient tradition and virtues like honour   loyalty and solidarity more suitable for some gentler   kinder ages    martin scorsese   another italoamerican moviemaker   confronted that perspective with his own   more down to earth vision of mafia in 1973 mean streets   movie that dealt with lower echelons of organised crime    unfortunately for scorsese   his film was unspectacular and too artsy to compete with coppola s influence on mafia portrayals in the movies    seventeen years later scorsese returned to mean streets of new york with another film that dealt with darker side of american organised crime    this film was goodfellas   epic black comedy which is today considered as one of the best and most influential films of 1990s    goodfellas owes some of its initial success and popularity to the fact that it was based on the true story   told in best seller book wiseguy by nicholas pileggi   who would co write the screenplay for the film      the book   as well as the film   chronicled thirty years in the life of henry hill   played by ray liotta     irish italian criminal from new york    at the age of 13 he gets recruited in the criminal organisation of paulie cicero   played by paul sorvino     local mob boss   and gradually climbs up the ladder starting with small errands    after couple of years   together with his best childhood friend tommy de vito   played by joe pesci     he joins the crew of expert thieves led by jimmy conway   played by robert de niro      three of them spend years as best friends and associates   gathering enormous wealth from their criminal enterprises that would culminate with one of the most spectacular robberies in american history    wealth   influence and privileges of men connected with mafia are enough for henry hill to seduce his future wife karen   played by lorraine bracco     who would afterwards remain loyal to her husband despite infidelities   domestic abuse   arrests and would even be accomplice to his own private drug dealing business    but the perfect world of   wiseguys   gradually begins to fall apart   tommy s unpredictable outbursts of homicidal violence   jimmy s reluctance to share his part of the loot with partners and   finally   henry s own drug habit would lead to his downfall and make him question his loyalty to the friends    goodfellas is an excellent example of a film that represents work of a film genius in his full glory    scorsese managed to create a vision which is effective and complete despite being full of contradictions that would ripped the film apart in the hands of less talented filmmaker    world depicted in this film is both ordinary and fascinating    scorsese spares no effort to show us all the violence   hypocrisy and inherent paranoia of organised crime   yet it manages to make it both seductive and funny    after being exposed to two and half hours of the film and three decades of criminal history   based on some notorious real life events     the audience understands why the characters chose such dangerous life paths   trading the superficial and short lasting glamour and prosperity of a criminal to the dullness and poverty of honest citizens    scorsese also manages to break viewer s moralistic inhibitions by showing truly revolting material   scenes that depict personal tragedies   broken homes   human depravity   violence   bloodshed and murder   in all their uncompromising reality   but in a manner that would make it amusing and funny to the audience    with the use of ironic soundtrack   manipulative shots   character s dialogue or narrator s commentary   goodfellas represents the new standards of black humour that would became very popular few years later during tarantino era    even if we don t pay attention to skills with which potentially disturbing material becomes eye pleasing and entertaining   we should admit that scorsese displays his talents of truly original and creative filmmaker    first   we might notice unusual structure of the plot   relatively minor subplot is used as movie s ironic prologue    then   instead of single narrator   scorsese switches to the second character as narrator in the middle of the film only to switch back to the original shortly afterwards    this multiple points of views   both in terms of narration and various subjective shots   only lengthens the ironic distance towards characters and their situation    same ironic distance comes with extremely effective choice of soundtrack    nostalgia for good old times is illustrated with easy listening 1950s pop songs   while depression   paranoia and bad times find their expression in more neurotic rock songs of late 1960s and 1970s    but the soundtrack is most effective when it is used as ironic comment   almost pastoral   easy listening tunes make strong and very ironic contrast to the scenes of violence and bloodshed    however   thing most associated with this film is couple of continuos shots that feature characters moving through large rooms and interacting with dozens if not hundreds of people    such scenes   although they require very great skill and patience during their shootings   became very popular among other directors in 1990s    fragmentary character of the screenplay   which doesn t have straight plot and instead bases film on series of loosely connected vignettes   gives another interesting opportunity for scorsese    he uses this structure of film to experiment   and most successful of such experiments is hilarious   a day in life   segment near the end of the film    another essential element of goodfellas is large but superb collection of great acting talents    the most respectable among them is robert de niro   but his character   who happen to be most quiet and business like member of criminal trio   gets overshadowed by two of his friends and colleagues    joe pesci deserved his   oscar   for supporting role of homicidal psychopath tommy   and his lines   including ad libs   probably represent the most memorable element of the film    ray liotta   although equally talented   perhaps doesn t look as the best choice for narrator and nominal hero of the film    liotta s henry hill looks somewhat too hollywoodised and glamorous among this bunch of low level street thugs    liotta   on the other hand   improves general impression by very realistic and menacing portrayal of drug addiction    lorraine bracco is   on the other hand   very effective and believable as karen hill   wife who gradually descends into same moral cesspool as her husband    paul sorvino is also very effective as patriarch mafioso   and among the supporting cast most memorable is chuck low as pestering small time gangster who unknowingly digs his own grave    as a combination of clever sociological study   black humour and innovative filmmaking goodfellas became something only the truly great films could do   work of art and excellent popular entertainment in the same time    because of this achievement   and also because of the great influence on future filmmakers   this cinematic gem deserves its rightful place among the best films of 1990s    
5,50, dreamworks pictures presents a jinks/ cohen company production kevin spacey annette bening   american beauty   thora birch allison janney peter gallagher mena suvari wes bentley and chris cooper co producers stan wlodkowski alan ball music by thomas newman costume designer julie weiss film editor tariq anway chris greenbury production designer naomi shohan director of photography conrad l   hall   a   s   c    produced by bruce cohen & dan jinks written by alan ball directed by sam mendes     both my wife and daughter think i m this gigantic loser    and they re right    i have lost something    i didn t always feel this sedated      with that piece of dialogue   we are fully introduced to lester burnham   kevin spacey     a 42 year old man trapped within his own life    lester works for an advertising agency    his growing dissatisfaction with his job is only one of the mid life crisis he is suffering    estranged from both his wife and his daughter   lester starts to crack under the stress    his life becomes nothing more than a series of mastubatory fantasies   and sullen apathy    carolyn burnham   annette bening     is the prototypical career woman/ homemaker    she carefully tends her rose garden   decorates her home with the best furnishings    but inside she is desperate    unsuccessful at her profession as a real estate agent   she drives herself into states of denial and self loathing that only feed her growing resentment towards her family    the third member of this anti family is jane burnham   thora birch     lester and carolyn s daughter    a young girl going through the typical stages of adolescence   but having to also come to terms with her families growing dysfunction    this funny   and frightening   slice of life is refreshingly simple    not one character is given less than is needed to identify him or her    some of the most telling characters are those that serve to highlight other characters    most notably is barbara fitts   allison janney     the almost catatonic wife of retired marine colonel fitts    she has almost no dialogue   and seems to be either recovering from a stroke or suffering from one    colonel fitts   chris cooper   is an angry and frightened man    his rage directed almost singularly at his son   ricky   wes bentley   who has just moved with his family to the same neighborhood as the burnham s    in fact they are the next door neighbors    anymore detail into the personalities of these marvelously diverse characters would deprive one of the many pleasures and surprises to be had in   american beauty      alan ball   who was the co executive producer of the hit tv series   cybil   and creator of the new sitcom   oh grow up     has fashioned one of the most insightful and expertly tuned screenplays to have hit the screen in the past ten years    not one character in this film rings falsely    and the depth of personality in each   is achingly honest and insightful    the plot detailing the last year in the life of a man as he tries to find his own self worth is so resoundingly cliched and at the same time original as to bring to mind such marvelous film work as   the graduate   or   lolita      kevin spacey turns in one of this years most pragmatic performances    his lester burnham is an everyman caught up in the middle of a life that is spiraling into old age    finally unable to deal with the lost soul that he has become   lester tries to return to his youth    he quits his job   actually blackmailing his employer for one year s salary     starts smoking pot   fantasizes about his daughter s girlfriend angela   mena suvari   in a marvelous performance here     starts working out   and finally takes a job at the local fast food outlet    mr   spacey s performance is so remarkably subtle and ingenuous   that we can be certain that come oscar   time   we can be assured to see him name among the five nominees    annette bening also turns in what may be the best performance of her career    carolyn burnham is a woman who has become so insecure as to be caught up in maintaining the facade of normalcy    unable to cope with her growing disillusionment   she forces herself to maintain her demeanor   driving her further and further into desperation   adultery and possibly murder    ms   bening makes the character of carolyn so compelling as to be identifiable to almost anyone    the slow and methodical turn from happy home maker to charnel house martha stewart is too frightening to express in words    thora birch holds her own against the talents cast with her    jane burnham is both an innocent girl caught up in what is a dysfunctional family   and a rebellious child ready to abandon them at any moment    her growing distrust and isolation from her family is something that many parents should view as a warning    she is the prototypical trophy child    when carolyn praises her daughter after a performance by her cheerleading team     i m so proud of you   honey    you didn t screw up once !       the bitterness and resentment are palpable    thora birch is a young actress to watch    praise must also go to chris cooper who brings yet another angry father role to life with depth and resonance    colonel finn is a man in complete denial    his military upbringing masking a desire he is too repulsed to even comprehend    wes bentley as ricky finn is fine as the enigma    the boy next door who may be more foe than friend    a deceitful and calculating young man   whose voyeuristic proclivities mask a deeper and more profound understanding of life than any of the adults around him    mr   bentley s performance is the one troublesome note in the film    that is simply because the character is such a grand and complete liar   that one almost faults the performance for it    director sam mendes handles all of the particulars of the cast and the settings with a sure and composed style that is neither intrusive nor subtle    scenes of carolyn walking through the rain   carry an ominous fission that calls attention to the emotions of the character    the subtle cinematography by conrad hall is wonderful   capturing the season in all of it s harsh beauty   fall has never looked so inviting   yet depressing      every nuance of   american beauty   begs it s audience to think and examine    it is a film that will be discussed and debated for years to come    and well it should   as it is simply one of this years best    
6,89, the disney studios has its formula for annual   full length animated features down so pat that it s hard to remember which one you re watching at any given moment       mulan     their 36th animated adventure   is the latest case in point    once again we have a tale focused around a strong central character   female as usual   disney is one of the few studios whose heroines  ariel   belle   pocahontas   and now mulan  get equal screen time with their heroes in recent years      add the requisite love interest and a wise cracking sidekick or two   pep up the soundtrack with a handful of strategically placed show tunes   an introspective number by a pool or looking in a mirror   a rousing anthem   a cutesy   montage backed crowd pleaser     pose a few threats to our engaging lead   and tie things all up neatly by the closing credits    bob s your uncle !  better make that walt s your uncle        kids will no doubt go ga ga over   mulan     or at least the fast food tie ins     but familiarity can   after a while   leave grown ups  this reviewer included  wishing for a little more    maybe an animated feature without  shock !  horror !   the  songs   for example    or maybe a film in which a cheeky chihuahua called pepe longs to become a matador from trinidad      how about simply ditching the sidekicks altogether    it isn t gonna happen    like disney s previous entries     mulan   is slow to make its mark    the animation tends to suffer from some slackness in the early going and the humorous element   a madcap dragon wannabe   in the guise of a loquacious lizard with a case of dry mouth   courtesy eddie murphy s animated vocal talents     plays like an inappropriate if necessary   formula wise   afterthought    however   after about an hour everything comes together and the formula   like it or not   clicks    highlights include a spectacular cavalry charge on a snow covered pass   which   due to the sophistication of today s computer generated imagery   is hard to tell from the real thing     a memorable   show stopping musical interlude     i ll make a man out of you     penned by matthew wilder and david zippel     and last but not least   mulan herself    voiced by ming na wen   mulan is disney s strongest female character to date    when hordes of huns pour over china s great wall and threaten to overthrow the imperial palace   the emperor decrees that every family in the land dispatch one man to serve in the imperial army    since mulan s father is infirm   but proud   the high spirited mulan steals her father s armor and   incognito   signs up to face the mongolian menace    attracted to   but not distracted by   her commanding officer shang   b   d    wong     mulan outmatches her fellow combatants in smarts   wit   and physical ability    she s a woman of the  90s a couple of millennia ahead of her time    
7,54, why do so many children s films treat their target audience with utter contempt    too many of those who write or direct for children s movies assume that the kids just can t handle serious   thoughtful discussions on meaningful issues       the iron giant     which was directed and co written by brad bird   late of such animated series as   the simpsons   and   king of the hill     assumes that not only can children handle such discussions   but that they can do so while being entertained at the same time       the iron giant   holds absolutely no contempt for the young people in the audience   making it a film that s enjoyable for both children and adults alike    hogarth hughes   voice of eli marienthal   is a spirited young lad who lives with his hard working single mother   annie   jennifer aniston     in a small town in maine    after staying up late and watching scary movies on a night his mother is away   hogarth treks out into the forest to investigate what has stolen his antenna and ruined his tv reception    he comes across a giant robot   vin diesel   from space that eats metal for food    after saving the robot   nicknamed the iron giant   from electric shock   hogarth befriends the creature and takes him in as a pet of sorts    because of damage he suffered upon landing   the giant has forgotten what his original mission was   so he just follows hogarth around like a lost puppy    realizing he can t just keep the giant in a barn all the time   and that the giant needs food   he takes him to a junkyard owned by dean   harry connick jr       an eccentric artist who assembles sculptures out of scrap iron in his spare time    it soon becomes apparent that dean and hogarth can t keep the giant a secret forever   because a government spook named kent mansley   christopher mcdonald   has been brought in to investigate mysterious sightings in the surrounding forest area and considers the giant a threat to national security    he suspects hogarth knows something about the giant   and takes up residence in hogarth s house as a lodger    meanwhile   the giant begins to exhibit ominous behavior that suggests he was built to be a weapon of some kind       the iron giant   is exactly what family films ought to be   because it doesn  t talk down to its audience    the story is simple   very simple   about an alien being that drops out of the sky and befriends a young boy    it s very similar to the spielberg classic   e   t       and such comparisons are actually deserved in the case of   the iron giant      the film holds many of the better elements of spielberg s film   such as the ability to be sentimental without turning sappy    the film delivers several serious messages   the most important of which is one s ability to choose one s own fate    hogarth teaches the giant to go against his programming and become what he wants to be   a hero    the final sequence is touching and appropriate   though i won t give it away   i will say that very few will be disappointed    the animation   while not up to disney standards   what could be   after   tarzan         is good enough to make you forget you re watching a cartoon    the giant is computer animated   while the human characters are all hand drawn the old fashioned way    the characters  faces are done quite well   drawn realistically enough to make the personalities credible   but the features are exaggerated so as to allow for the cartoonish expressions that provide for comic relief    fine voice work is turned in by young eli marienthal as hogarth   and jennifer aniston is surprisingly convincing as his waitress mother    harry connick jr   does a nice characterization as dean   and i really enjoyed the voice work of john mahoney   of tv s   frasier     as an army general called in by agent mansley    unlike several cartoon features   each character is actually a developed personality   rather than a stereotype   and is actually integral to the plot   rather than being a superfluous comic relief sidekick   a clich   disney still hasn t ditched      dean   for example   could have been a stereotypical beatnik   his character profile seems to suggest that     but he is presented as a character with real emotions   thoughts   and motivations    even the heavy   agent mansley   is not a villain who does bad things simply because he wants to   but out of his own fear and paranoia    a lesser animated feature would have drawn up paper thin stereotypes and figure the kids won t mind   but   the iron giant   has clearly put a little work into making the characters real   and it pays off    the film isn t only around to deliver heavy handed messages   though    it s also very funny   and the humor is of the kind that both children and adults will enjoy    the scenes in which hogarth teaches the giant to do certain things   such as dive into a pool   are handled well   and director brad bird clearly has a sense of comic timing   having worked on   the simpsons   for many years    a sequence where hogarth and mansley attempt to   outlast   one another by trying to stay awake is very nicely timed   and also extremely clever    the film even takes some jabs at america s nuclear paranoia during the early stages of the cold war   satirizing the lame safety films shown to grade school students that tell them to   duck and cover   in the event of a nuclear attack       the iron giant   has much more of a satirical edge to it than most family films   and the edgy humor is actually quite refreshing    instead of seeing people get bonked on the head   we get well timed   clever gags that seem to have required some imagination to come up with    when you get right down to it     the iron giant   is no more than the story of a boy and his robot    the story is so straightforward   so quaint   that it ultimately becomes charming    though i enjoy the complex plotting of film noir as much as the next person   when it comes to family entertainment   simple is the way to go    it s akin to one of those bedtime stories your father told that had you hanging on his every word   but it s not the story that sets the film above others of its kind   but rather the elements that go into the story   namely real characters and thoughtful dialogue   which   the iron giant   has in spades    
8,56, no film in recent has left me with such conflicted feelings as neil jordan s harrowing   humorous   horrifying adaptation of patrick mccabe s novel about young lad francie brady s   eamonn owens   descent into madness in 1960s ireland    on one hand   it was difficult for me to become invested in francie s story because he is such an unsavory character   unjustifyably venting his rage at his nosy but otherwise harmless neighbor mrs   nugent   fiona shaw      on another hand   i found it difficult to laugh at some of francie s darkly comic shenanigans because he obviously is such a sick   needy child   having been raised by a drunken father   stephen rea   and a suicidal mother   aisling o sullivan      on yet another hand   i also found it difficult to completely sympathize with francie during his more emotional scenes because some of his   for lack of a better word     bad   deeds are so incredibly shocking in their brutality and the malicious glee in which he performs them    however   the butcher boy s power is undeniable   and the film as a whole is unforgettable  perhaps because it is so disturbing    what makes it so unsettling is the francie s overall wink wink yet matter of fact attitude about everything   expressed in a cheeky voiceover narration delivered by the adult francie   rea again      think heavenly creatures played largely for laughs   and you ll sort of understand    anchoring the whole film is the astonishing debut performance of owens   love francie or hate him   you cannot take your eyes off of owens    the butcher boy truly is a twisted   unusual film that is bound to make just about anyone uncomfortable    in the lobby after the screening   i overheard one man raving about how great yet disturbing it was   i also heard one particularly offended woman say with disgust     that movie was so unfunny !       i didn t know what to expect    it s like something you chase for so long   but then you don t know how to react when you get it    i still don t know how to react        michael jordan   on winning his first nba championship in 1991       or    my thoughts after meeting him on november 21   1997  
9,58, meet joe black   reviewed on nov   27/98    starring brad pitt   anthony hopkins   claire forlani  in   meet joe black     brad pitt plays death    that s all that really needs to be said   but nevertheless   i will provide the three of you that have seemingly been living in a cave with a plot description    death decides to take a holiday   what with all the rigors of soul collecting and all   and forces anthony hopkins into showing him what it s like to be human    death assumes the body of brad pitt   and from there   much trouble ensues    for one thing   death as pitt falls in love with hopkins daughter   played by claire forlani    obviously this enrages hopkins   because really   what can death offer    besides eternal damnation   of course    there is also a sub plot about forlani s ex boyfriend   she dumps him for pitt   trying to take over hopkins company       meet joe black   runs just under three hours    i ve always thought that such obscene running times should be limited to historical epics       meet joe black   is neither historical nor is it an epic   though i get the feeling martin brest   the director   desperately wants it to be    every single scene in the movie goes on about 3 4 minutes too long    and the ending takes about 20 minutes longer than it really should    a severe editing job could have made this movie excellent   instead of just good   which is what it is    pitt   an actor i normally loathe   is actually quite engaging as death    i believed his performance   and i could see why forlani s character would fall in love with him    i have to agree with roger ebert   though   who found it hard to believe that an entity that s been around for all time wouldn t know what peanut butter was    that has nothing to do with pitt s performance   of course   but it is a little distracting    hopkins gives his usual excellent performance    he s able to portray the angst of a man who knows he has very little time left   without making him an obnoxious whiner    and in her first major studio role   claire forlani is surprisingly good    she has a sweet tenderness that allows the audience to instantly root for her    so     meet joe black   is a good movie hampered by it s ridiculous running time    had the film been cut by an hour or so   i have no doubt that i would be calling it one of the best movies of the year in this review    
10,78, not since oliver stone s natural born killers has there been a movie this incendiary   and not since david cronenberg has a so called mainstream director been this willing to repeatedly tiptoe the fine line between pointed social commentary and outright social irresponsibility    while fincher s films have never suffered from a lack of shock value   his major character killings in both alien 3 and seven are fine examples     fight club marks the distillation of his pitch black comedic sensibility   see 1997 s the game   into something like a definitive statement    jack   norton   acting as both narrator and protagonist   is your typical cubicle clone   whose disillusionment is amplified by a seemingly incurable insomnia    on the offhand advice of a doctor   he sits in on group therapy sessions for everything from blood parasites to testicular cancer    here he meets bob   marvin lee aday   aka meat loaf     a cancer emasculated eunuch with profound gynecomastia    strangely   the release he finds while sobbing on bob s breasts allows him to sleep at night   at least until a fellow group therapy   tourist   named marla singer   carter   comes along to ruin things for him   forcing a grudging compromise that recalls monty python in its dark hilarity    later   he meets tyler durden   pitt     a soap salesman with a decidedly subversive outlook on life    one night   after his ikea  furnished condo explodes   don t ask   you ll just have to see the movie   awright       he is goaded by tyler into a fight   and damned if it doesn t feel good    it is pure   raw existence   a brief moment of clarity and purpose that makes his dreary workaday life pale in comparison    he moves into tyler s squalid abandoned mansion   and they form the titular organization   an underground therapy group where men bond with bare knuckle savagery and very few rules   the first two of which are   don t talk about fight club      armed with charisma and an attractive anti corporate philosophy   tyler assumes leadership of the burgeoning membership of white collar slaves and dead end mcemployees    resentment creeps into jack s heart   made worse by the fact that tyler is also regularly and noisily boffing the hated marla    funded by a frivolous lawsuit   tyler begins molding his devotees into an army dedicated to mischief and mayhem    their initially juvenile pranks   like pissing in food and putting spike belts on roads   quickly evolve into something more like sedition   and jack fears that things have gone sour    it is after this point   when you are plenty uncomfortable and wondering just how far fincher will go to say something original   that the film uncorks a disappointing plot twist    it is so contrived   and so conventional compared to what precedes it   that everything which follows   including the ending   becomes far less interesting    it s a major   though not fatal   flaw   and for a director as notoriously unpredictable as fincher   it feels like a cop out    fight club is going to be misconstrued by a great many people    in the early going   it has a downright dangerous feel   it seems to be saying that violence and civil disobedience are good for the soul   and this is undoubtedly the message that a few moronic punks are going to take from it    i ll be mightily surprised if imitation fight clubs don t spring up here and there   and i ll be even more amazed if fincher isn t vilified for it by the same humorless witch hunters that are currently after oliver stone    they needn t bother   because fight club is less a message movie than fincher s elaborate attempt at a joke    tyler durden   for all his dionysian allure   is really nothing more than the logical   and far less hypocritical   extrapolation of all those self help gurus who constantly show up on oprah to preach their me first gospel of self actualization    in this context   the joke works   but like the latest columbine joke   some people will get it and enjoy a good laugh   and others won t    hopefully   though   their silly moral outrage won t spoil the joke for the rest of us    
