id,percentage,review
1,36,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.
2,44,I was shocked because no signs indicate cash only.
3,36,"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed."
4,41,This was like the final blow!
5,43,"Overall, I like this place a lot."
6,32,The only redeeming quality of the restaurant was that it was very inexpensive.
7,27,There is not a deal good enough that would drag me into that establishment again.
8,27,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.
9,36,"Frozen pucks of disgust, with some of the worst people behind the register."
10,49,He came running after us when he realized my husband had left his sunglasses on the table.
11,39,"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food."
12,26,"The ripped banana was not only ripped, but petrified and tasteless."
13,46,We'd definitely go back here again.
14,32,We got the food and apparently they have never heard of salt and the batter on the fish was chewy.
15,45,"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected."
16,46,Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.
17,45,"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!"
18,47,Food arrived quickly!
19,41,Will be back again!
20,25,"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious."
21,43,This is one of the better buffets that I have been to.
22,55,"Nice, spicy and tender."
23,65,"Worst service to boot, but that is the least of their worries."
24,80,Service was fine and the waitress was friendly.
25,58,"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas."
26,73,My drink was never empty and he made some really great menu suggestions.
27,63,"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE."
28,57,"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!"
29,62,I ordered the Lemon raspberry ice cocktail which was also incredible.
30,52,It is worth the drive.
31,86,Food was great and so was the serivce!
32,90,Which are small and not worth the price.
33,54,This is the place where I first had pho and it was amazing!!
34,59,"Everyone is very attentive, providing excellent customer service."
35,82,Now the pizza itself was good the peanut sauce was very tasty.
36,77,"For a self proclaimed coffee cafe, I was wildly disappointed."
37,56,I waited and waited.
38,71,This greedy corporation will NEVER see another dime from me!
39,67,Favorite place in town for shawarrrrrrma!!!!!!
40,77,"OMG, the food was delicioso!"
41,53,It shouldn't take 30 min for pancakes and eggs.
42,60,I took back my money and got outta there.
43,81,I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area.
44,63,"Overall, I was very disappointed with the quality of food at Bouchon."
45,55,First time going but I think I will quickly become a regular.
46,56,This is some seriously good pizza and I'm an expert/connisseur on the topic.
47,76,I'll take my business dinner dollars elsewhere.
48,69,The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.
49,88,Don't waste your time here.
50,51,"It was attached to a gas station, and that is rarely a good sign."
